date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,elo_home,elo_away,elo_prob1
2018-06-15,Russia,Saudi Arabia,,,-,-,-,False,1500,1500,
2018-06-16,Egypt,Uruguay,,,-,-,-,True,1500,1500,
2018-06-17,Morocco,Iran,,,-,-,-,True,1500,1500,
2018-06-18,Portugal,Spain,,,-,-,-,True,1500,1500,
2018-06-19,France,Australia,,,-,-,-,True,1500,1500,
2018-06-20,Argentina,Iceland,,,-,-,-,True,1500,1500,
2018-06-21,Peru,Denmark,,,-,-,-,True,1500,1500,
2018-06-22,Croatia,Nigeria,,,-,-,-,True,1500,1500,
2018-06-23,Costa Rica,Serbia,,,-,-,-,True,1500,1500,
2018-06-24,Germany,Mexico,,,-,-,-,True,1500,1500,
2018-06-25,Brazil,Switzerland,,,-,-,-,True,1500,1500,
2018-06-26,Sweden,Korea Republic,,,-,-,-,True,1500,1500,
2018-06-27,Belgium,Panama,,,-,-,-,True,1500,1500,
2018-06-28,Tunisia,England,,,-,-,-,True,1500,1500,
2018-06-29,Colombia,Japan,,,-,-,-,True,1500,1500,
2018-06-30,Poland,Senegal,,,-,-,-,True,1500,1500,
2018-07-01,Russia,Egypt,,,-,-,-,False,1500,1500,
2018-07-02,Portugal,Morocco,,,-,-,-,True,1500,1500,
2018-07-03,Uruguay,Saudi Arabia,,,-,-,-,True,1500,1500,
2018-07-04,Iran,Spain,,,-,-,-,True,1500,1500,
2018-07-05,Denmark,Australia,,,-,-,-,True,1500,1500,
2018-07-06,France,Peru,,,-,-,-,True,1500,1500,
2018-07-07,Argentina,Croatia,,,-,-,-,True,1500,1500,
2018-07-08,Brazil,Costa Rica,,,-,-,-,True,1500,1500,
2018-07-09,Nigeria,Iceland,,,-,-,-,True,1500,1500,
2018-07-10,Serbia,Switzerland,,,-,-,-,True,1500,1500,
2018-07-11,Belgium,Tunisia,,,-,-,-,True,1500,1500,
2018-07-12,Korea Republic,Mexico,,,-,-,-,True,1500,1500,
2018-07-13,Germany,Sweden,,,-,-,-,True,1500,1500,
2018-07-14,England,Panama,,,-,-,-,True,1500,1500,
2018-07-15,Japan,Senegal,,,-,-,-,True,1500,1500,
2018-07-16,Poland,Colombia,,,-,-,-,True,1500,1500,
2018-07-17,Russia,Uruguay,,,-,-,-,False,1500,1500,
2018-07-18,Saudi Arabia,Egypt,,,-,-,-,True,1500,1500,
2018-07-19,Iran,Portugal,,,-,-,-,True,1500,1500,
2018-07-20,Spain,Morocco,,,-,-,-,True,1500,1500,
2018-07-21,Denmark,France,,,-,-,-,True,1500,1500,
2018-07-22,Australia,Peru,,,-,-,-,True,1500,1500,
2018-07-23,Nigeria,Argentina,,,-,-,-,True,1500,1500,
2018-07-24,Iceland,Croatia,,,-,-,-,True,1500,1500,
2018-07-25,Mexico,Sweden,,,-,-,-,True,1500,1500,
2018-07-26,Korea Republic,Germany,,,-,-,-,True,1500,1500,
2018-07-27,Serbia,Brazil,,,-,-,-,True,1500,1500,
2018-07-28,Switzerland,Costa Rica,,,-,-,-,True,1500,1500,
2018-07-29,Japan,Poland,,,-,-,-,True,1500,1500,
2018-07-30,Senegal,Colombia,,,-,-,-,True,1500,1500,
2018-07-31,Panama,Tunisia,,,-,-,-,True,1500,1500,
2018-08-01,England,Belgium,,,-,-,-,True,1500,1500,
